Business_Name,Address Line 1,Address Line 2,Address Line 3,Address_Line_4,Town,County,Post Code,UPRN,Zone Description,Resident RP,Visitor VP,Essential Visitor EVP,Business BP,Additional Info,,,,,,,,,,,,,,,,,,,,,,,,
,9 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242114,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,10 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242115,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,11 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242116,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,12 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242117,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,13 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242118,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,14 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242119,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,15 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242120,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,16 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242121,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,17 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242122,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,18 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242123,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,19 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242124,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,20 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242125,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,21 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242126,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,22 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242127,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,23 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242128,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,24 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242129,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,25 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242130,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,26 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242131,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,27 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242132,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,28 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242133,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,29 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242134,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,30 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242135,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,31 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242136,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Lake Almshouses,Under Minnow Road,,,,,,100041228434,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Longstone,Under Minnow Road,,,,,,100041228435,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Feoffee Cottages,Bull Hill,,,,,,10012090001,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Fort Terrace,,,,Barnstaple,,EX32 8BH,100040246651,Barnstaple B,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
