Town,Restriction Type,Total Estimated length (m),Total Estimated spaces
Dawlish,Pay & Display,478,93
Dawlish,Public Service Vehicle Parking,30,2
Dawlish Warren,Limited Waiting,15,3
Dawlish Warren,No Waiting At Any Time,2279,409
Diptford,No Waiting At Any Time,152,26
Dittisham,No Waiting At Any Time,336,56
Doddiscombsleigh,Keep Clear Marking (TRO),62,10
Dousland,No Waiting At Any Time,556,101
Down Thomas,No Waiting At Any Time,2,1
Dunkeswell,No Waiting At Any Time,623,113
East,Bus Stop Clearway,0,1
East Allington,Keep Clear Marking (TRO),34,6
East Budleigh,No Waiting At Any Time,755,134
East Portlemouth,No Waiting At Any Time,1293,228
East The Water,Bus Stop Clearway,37,2
East The Water,Disabled Parking,7,1
East The Water,Keep Clear Marking (TRO),86,14
East The Water,No Loading,45,7
East The Water,No Waiting,575,101
East The Water,No Waiting At Any Time,3225,571
Ermington,Keep Clear Marking (TRO),26,4
Ermington,No Waiting At Any Time,52,9
Exeter,Bus Stop Clearway,1946,127
Exeter,Clearway route,9382,1701
Exeter,Disabled Parking,645,84
Exeter,Disabled Parking (Advisory),24,3
Exeter,Electric Vehicle Parking,94,19
Exeter,Emergency Service Vehicles,21,3
Exeter,Keep Clear Marking (TRO),756,122
Exeter,Limited Waiting,4509,828
Exeter,Loading Only,911,80
Exeter,M/Cycle Parking,59,27
Exeter,No Loading,12693,2246
Exeter,No Loading At Any Time,3659,632
Exeter,No Waiting,21935,3858
Exeter,No Waiting At Any Time,79609,14239
Exeter,Pay & Display,7646,1474
Exeter,Pay by Phone,61,6
Exeter,Permit Holders Only,269,47
Exeter,Public Service Vehicle Parking,290,20
Exeter,Residents Permit Parking,64306,12777
Exeter,Taxi Bay,80,14
Exminster,Bus Stop Clearway,41,3
Exminster,Keep Clear Marking (TRO),41,7
Exminster,Limited Waiting,30,5
Exminster,No Waiting At Any Time,2061,349
Exminster,Permit Holders Only,11,2
Exmouth,Bus Stop Clearway,273,19
Exmouth,Disabled Parking,335,47
Exmouth,Disabled Parking (Advisory),17,2
Exmouth,Keep Clear Marking (Advisory),76,13
Exmouth,Keep Clear Marking (TRO),171,29
Exmouth,Limited Waiting,1626,312
Exmouth,Loading Only,217,18
Exmouth,No Loading,54,9
Exmouth,No Loading At Any Time,469,80
Exmouth,No Waiting,1071,187
Exmouth,No Waiting At Any Time,33221,5909
Exmouth,Pay & Display,1467,371
Exmouth,Permit Holders Only,233,46
Exmouth,Prohibition of Motor Caravans,99,17
Exmouth,Taxi Bay,120,19
Exton,No Waiting At Any Time,270,46
Ford,No Waiting,53,9
Ford,No Waiting At Any Time,80,14
Fremington,Keep Clear Marking (TRO),43,7
Fremington,No Loading,49,8
Fremington,No Waiting,13,2
Fremington,No Waiting At Any Time,477,81
Fremington,Residents Permit Parking,92,17
Frithelstock,No Waiting At Any Time,92,15
Galmpton,No Waiting At Any Time,372,67
Georgeham,Keep Clear Marking (TRO),46,8
Georgeham,No Waiting,140,25
Georgeham,No Waiting At Any Time,288,51
Great Torrington,Bus Stop Clearway,100,7
Great Torrington,Disabled Parking,15,2
Great Torrington,Keep Clear Marking (TRO),30,5
Great Torrington,Limited Waiting,361,68
Great Torrington,Loading Only,57,4
Great Torrington,No Loading,462,79
Great Torrington,No Loading At Any Time,37,6
Great Torrington,No Waiting,2520,435
Great Torrington,No Waiting At Any Time,3833,671
Halberton,Bus Stop Clearway,38,2
Harbertonford,Disabled Parking,14,2
Harbertonford,Keep Clear Marking (TRO),61,10
Harbertonford,No Waiting At Any Time,235,37
Hartland,Keep Clear Marking (TRO),42,7
Hartland,Limited Waiting,88,17
Hartland,No Waiting At Any Time,536,96
Hatherleigh,Keep Clear Marking (TRO),55,9
Hatherleigh,Loading Only,36,3
Hatherleigh,No Waiting At Any Time,262,43
Hawkchurch,Keep Clear Marking (Advisory),37,6
Heathfield,Bus Stop Clearway,13,1
Heathfield,Keep Clear Marking (TRO),26,4
Heathfield,No Waiting,65,11
Heathfield,No Waiting At Any Time,138,25
Heybrook Bay,No Waiting At Any Time,354,63
Hillhead,No Waiting At Any Time,87,14
Holbeton,No Waiting,447,79
Holbeton,No Waiting At Any Time,279,51
Holne,No Waiting At Any Time,1,1
Holsworthy,Disabled Parking,8,1
Holsworthy,Disabled Parking (Advisory),7,1
Holsworthy,Keep Clear Marking (TRO),25,4
Holsworthy,Limited Waiting,195,39
Holsworthy,Loading Only,65,5
Holsworthy,No Loading,265,46
Holsworthy,No Loading At Any Time,17,2
Holsworthy,No Waiting,2321,412
Holsworthy,No Waiting At Any Time,4223,740
Honiton,Bus Stop Clearway,137,9
Honiton,Disabled Parking,26,3
Honiton,Keep Clear Marking (TRO),103,17
Honiton,Limited Waiting,562,107
Honiton,Loading Only,42,3
Honiton,No Loading,241,41
Honiton,No Loading At Any Time,28,5
Honiton,No Waiting,1546,273
Honiton,No Waiting At Any Time,12652,2242
Hope Cove,Limited Waiting,29,5
Hope Cove,No Waiting,524,91
Hope Cove,No Waiting At Any Time,525,92
Horrabridge,Keep Clear Marking (TRO),26,4
Horrabridge,No Waiting At Any Time,351,56
Ide,Keep Clear Marking (TRO),24,4
Ide,No Waiting,18,3
Ide,No Waiting At Any Time,681,120
Ilfracombe,Bus Stop Clearway,195,13
Ilfracombe,Disabled Parking,177,21
Ilfracombe,Keep Clear Marking (TRO),97,16
Ilfracombe,Limited Waiting,500,94
Ilfracombe,Loading Only,156,15
Ilfracombe,No Loading,1506,265
Ilfracombe,No Loading At Any Time,883,151
Ilfracombe,No Waiting,3275,573
Ilfracombe,No Waiting At Any Time,13673,2419
Ilfracombe,Pay & Display,477,93
Ilfracombe,Public Service Vehicle Parking,27,2
Ilsington,Keep Clear Marking (TRO),26,4
Instow,Bus Stop Clearway,61,4
Instow,Disabled Parking,9,1
Instow,Limited Waiting,405,98
Instow,Loading Only,30,3
Instow,No Loading At Any Time,150,26
Instow,No Waiting,637,113
Instow,No Waiting At Any Time,2740,487
Ipplepen,Disabled Parking (Advisory),7,1
Ipplepen,Keep Clear Marking (TRO),30,5
Ipplepen,No Waiting At Any Time,198,34
Ivybridge,Bus Stop Clearway,71,2
Ivybridge,Disabled Parking,36,5
Ivybridge,Keep Clear Marking (TRO),183,30
Ivybridge,Limited Waiting,295,52
Ivybridge,Loading Only,21,2
Ivybridge,M/Cycle Parking,13,1
Ivybridge,No Loading At Any Time,846,143
Ivybridge,No Waiting,601,105
Ivybridge,No Waiting At Any Time,7120,1246
Ivybridge,Residents Permit Parking,518,108
Kennford,Keep Clear Marking (TRO),18,3
Kennford,Limited Waiting,14,2
Kennford,No Waiting,58,10
Kennford,No Waiting At Any Time,38,7
Kenton,No Waiting At Any Time,858,144
Kingsbridge,Bus Stop Clearway,64,5
Kingsbridge,Disabled Parking,28,5
Kingsbridge,Disabled Parking (Advisory),20,3
Kingsbridge,Keep Clear Marking (TRO),94,15
Kingsbridge,Limited Waiting,753,146
Kingsbridge,Loading Only,115,8
Kingsbridge,No Loading,735,131
Kingsbridge,No Loading At Any Time,72,12
Kingsbridge,No Waiting,2892,507
Kingsbridge,No Waiting At Any Time,10104,1788
Kingsbridge,Permit Holders Only,102,20
Kingsbridge,Taxi Bay,6,1
Kingskerswell,Bus Stop Clearway,12,1
Kingskerswell,Keep Clear Marking (TRO),86,15
Kingskerswell,Limited Waiting,121,23
Kingskerswell,No Waiting At Any Time,2677,466
Kingsteignton,Bus Stop Clearway,210,12
Kingsteignton,Disabled Parking,7,1
Kingsteignton,Disabled Parking (Advisory),7,1
Kingsteignton,Keep Clear Marking (TRO),166,27
Kingsteignton,Limited Waiting,23,4
Kingsteignton,No Waiting At Any Time,4767,831
Kingston,No Waiting At Any Time,37,5
Kingswear,Bus Stop Clearway,19,1
Kingswear,Disabled Parking,12,1
Kingswear,Limited Waiting,28,3
Kingswear,No Waiting,67,12
Kingswear,No Waiting At Any Time,4024,714
Kingswear,Permit Holders Only,395,75
Lee Mill,No Waiting At Any Time,2608,464
Lee Mill Bridge,Disabled Parking,6,1
Lee Mill Bridge,No Waiting At Any Time,325,56
Lifton,No Waiting At Any Time,63,10
Liverton,Keep Clear Marking (TRO),22,3
Liverton,No Loading At Any Time,157,27
Liverton,No Waiting At Any Time,215,38
Loddiswell,No Waiting At Any Time,177,29
