Business_Name,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town,County,Post_Code,UPRN,Zone Description,Blocked,Car Free,Standard Residential,Standard Visitor,Essential Visitor,Resident Barnstaple K1,Standard Business,Charity Business,Guesthouse
,4 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242109,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,11 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242116,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,18 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242123,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
Tranquility Bathrooms,Unit 1,Abbey Road,,,Barnstaple,,EX31 1JU,10012109507,Barnstaple A,-,-,No,No,No,No,No,No,No
,60 Fair View,,,,Barnstaple,,EX31 1JR,100040246488,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,55 Fair View,,,,Barnstaple,,EX31 1JS,100040246483,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,45 Fair View,,,,Barnstaple,,EX31 1JS,100040246473,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,50 Fair View,,,,Barnstaple,,EX31 1JS,100040246478,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,54 Fair View,,,,Barnstaple,,EX31 1JS,100040246482,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,65 Fair View,,,,Barnstaple,,EX31 1JR,100040246493,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,62 Fair View,,,,Barnstaple,,EX31 1JR,100040246490,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,69 Fair View,,,,Barnstaple,,EX31 1JR,100040246497,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,47 Fair View,,,,Barnstaple,,EX31 1JS,100040246475,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,48 Fair View,,,,Barnstaple,,EX31 1JS,100040246476,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Fair View,,,,Barnstaple,,EX31 1JR,100040246431,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,42 Fair View,,,,Barnstaple,,EX31 1JS,100040246470,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,53 Fair View,,,,Barnstaple,,EX31 1JS,100040246481,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,67 Fair View,,,,Barnstaple,,EX31 1JR,100040246495,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,66 Fair View,,,,Barnstaple,,EX31 1JR,100040246494,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,46 Fair View,,,,Barnstaple,,EX31 1JS,100040246474,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,57 Fair View,,,,Barnstaple,,EX31 1JR,100040246485,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,72 Fair View,,,,Barnstaple,,EX31 1JR,100040246500,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,74a Fair View,,,,Barnstaple,,EX31 1JR,100040246502,Barnstaple A,Yes,-,No,No,No,No,No,No,No
,56 Fair View,,,,Barnstaple,,EX31 1JS,100040246484,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,73 Fair View,,,,Barnstaple,,EX31 1JR,100040246501,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,41 Fair View,,,,Barnstaple,,EX31 1JS,100040246469,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,58 Fair View,,,,Barnstaple,,EX31 1JR,100040246486,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,43 Fair View,,,,Barnstaple,,EX31 1JS,100040246471,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,52 Fair View,,,,Barnstaple,,EX31 1JS,100040246480,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,61 Fair View,,,,Barnstaple,,EX31 1JR,100040246489,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,68 Fair View,,,,Barnstaple,,EX31 1JR,100040246496,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,70 Fair View,,,,Barnstaple,,EX31 1JR,100040246498,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,49 Fair View,,,,Barnstaple,,EX31 1JS,100040246477,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,63 Fair View,,,,Barnstaple,,EX31 1JR,100040246491,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,59 Fair View,,,,Barnstaple,,EX31 1JR,100040246487,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,5 Priory Close,,,,Barnstaple,,EX31 1QX,100040252420,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,16 Priory Close,,,,Barnstaple,,EX31 1QX,100040252431,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,10 Priory Close,,,,Barnstaple,,EX31 1QX,100040252425,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,11 Priory Close,,,,Barnstaple,,EX31 1QX,100040252426,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,71 Fair View,,,,Barnstaple,,EX31 1JR,100040246499,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,1 Priory Close,,,,Barnstaple,,EX31 1QX,100040252416,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,8 Priory Close,,,,Barnstaple,,EX31 1QX,100040252423,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,13 Priory Close,,,,Barnstaple,,EX31 1QX,100040252428,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Priory Close,,,,Barnstaple,,EX31 1QX,100040252417,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,4 Priory Close,,,,Barnstaple,,EX31 1QX,100040252419,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,17 Priory Close,,,,Barnstaple,,EX31 1QX,100040252432,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,44 Fair View,,,,Barnstaple,,EX31 1JS,100040246472,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,51 Fair View,,,,Barnstaple,,EX31 1JS,100040246479,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,74 Fair View,,,,Barnstaple,,EX31 1JR,100041136125,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,3 Priory Close,,,,Barnstaple,,EX31 1QX,100040252418,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,18 Priory Close,,,,Barnstaple,,EX31 1QX,100040252433,Barnstaple A,Yes,-,No,No,No,No,No,No,No
,6 Priory Close,,,,Barnstaple,,EX31 1QX,100040252421,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,15 Priory Close,,,,Barnstaple,,EX31 1QX,100040252430,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,7 Priory Close,,,,Barnstaple,,EX31 1QX,100040252422,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,14 Priory Close,,,,Barnstaple,,EX31 1QX,100040252429,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,64 Fair View,,,,Barnstaple,,EX31 1JR,100040246492,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,9 Priory Close,,,,Barnstaple,,EX31 1QX,100040252424,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,12 Priory Close,,,,Barnstaple,,EX31 1QX,100040252427,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Lake Almshouses,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254867,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,The Cedars,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040244397,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Longstone House,Under Minnow Road,,,Barnstaple,,EX31 1QU,100041228436,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat D,Longstone,Under Minnow Road,,Barnstaple,,EX31 1QU,100040254871,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Stabula,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254864,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Little Bingham,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254861,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
