Business_Name,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town,County,Post_Code,UPRN,Zone Description,Blocked,Car Free,Standard Residential,Standard Visitor,Essential Visitor,Resident Barnstaple K1,Standard Business,Charity Business,Guesthouse
,31 Wyndham Avenue,,,,Exeter,,EX1 2PQ,100040241981,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,15 Alpha Street,,,,Exeter,,EX1 2SP,100040200455,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,5 Alpha Street,,,,Exeter,,EX1 2SP,100040200445,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,Shaul House,Alpha Street,,Exeter,,EX1 2SP,100041124825,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,25 Alpha Street,,,,Exeter,,EX1 2SP,100040200467,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,3 Wyndham Avenue,,,,Exeter,,EX1 2PQ,100040241953,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,26 Wyndham Avenue,,,,Exeter,,EX1 2PQ,100040241976,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,11 Alpha Street,,,,Exeter,,EX1 2SP,100040200451,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,22 Alpha Street,,,,Exeter,,EX1 2SP,100040200464,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,26 Alpha Street,,,,Exeter,,EX1 2SP,100040200468,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 9,Shaul House,Alpha Street,,Exeter,,EX1 2SP,100041124831,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,27 Alpha Street,,,,Exeter,,EX1 2SP,100040200469,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 4,Shaul House,Alpha Street,,Exeter,,EX1 2SP,100041124826,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,19 Alpha Street,,,,Exeter,,EX1 2SP,100040200459,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,21 Alpha Street,,,,Exeter,,EX1 2SP,100040200463,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,4 Alpha Street,,,,Exeter,,EX1 2SP,100040200444,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,20 Alpha Street,,,,Exeter,,EX1 2SP,100040200462,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 11,Shaul House,Alpha Street,,Exeter,,EX1 2SP,100041124833,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,28 Alpha Street,,,,Exeter,,EX1 2SP,10013036001,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,4 Anthony Road,,,,Exeter,,EX1 2ST,100040200795,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,29 Anthony Road,,,,Exeter,,EX1 2SS,100040200820,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,41 Anthony Road,,,,Exeter,,EX1 2SS,100040200829,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,14 Anthony Road,,,,Exeter,,EX1 2ST,100040200805,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,28 Anthony Road,,,,Exeter,,EX1 2ST,100040200819,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,35 Anthony Road,,,,Exeter,,EX1 2SS,100040200823,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,42 Anthony Road,,,,Exeter,,EX1 2ST,100040200830,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,8 Anthony Road,,,,Exeter,,EX1 2ST,100040200799,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,25 Anthony Road,,,,Exeter,,EX1 2SS,100040200816,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,45 Anthony Road,,,,Exeter,,EX1 2SS,100040200833,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,19 Anthony Road,,,,Exeter,,EX1 2SS,100040200810,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,36 Anthony Road,,,,Exeter,,EX1 2ST,100040200824,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,37 Anthony Road,,,,Exeter,,EX1 2SS,100040200825,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,71 Anthony Road,,,,Exeter,,EX1 2SS,100040200860,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,23 Anthony Road,,,,Exeter,,EX1 2SS,100040200814,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,31 Anthony Road,,,,Exeter,,EX1 2SS,100040200821,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,40 Anthony Road,,,,Exeter,,EX1 2ST,100040200828,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,2 Anthony Road,,,,Exeter,,EX1 2ST,100040200793,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,16 Anthony Road,,,,Exeter,,EX1 2ST,100040200807,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,54 Anthony Road,,,,Exeter,,EX1 2ST,100040200842,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,55 Anthony Road,,,,Exeter,,EX1 2SS,100040200843,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,67 Anthony Road,,,,Exeter,,EX1 2SS,100040200857,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,13 Anthony Road,,,,Exeter,,EX1 2SS,100040200804,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,20 Anthony Road,,,,Exeter,,EX1 2ST,100040200811,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,50 Anthony Road,,,,Exeter,,EX1 2ST,100040200838,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,56b Anthony Road,,,,Exeter,,EX1 2ST,100040200845,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,57 Anthony Road,,,,Exeter,,EX1 2SS,100040200847,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,10 Anthony Road,,,,Exeter,,EX1 2ST,100040200801,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,27 Anthony Road,,,,Exeter,,EX1 2SS,100040200818,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,47 Anthony Road,,,,Exeter,,EX1 2SS,100040200835,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,62 Anthony Road,,,,Exeter,,EX1 2ST,100040200852,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,60 Anthony Road,,,,Exeter,,EX1 2ST,100040200850,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,79 Anthony Road,,,,Exeter,,EX1 2SS,100040200864,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,3 Anthony Road,,,,Exeter,,EX1 2SS,100040200794,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,21 Anthony Road,,,,Exeter,,EX1 2SS,100040200812,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,49 Anthony Road,,,,Exeter,,EX1 2SS,100040200837,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,65 Anthony Road,,,,Exeter,,EX1 2SS,100040200855,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,75 Anthony Road,,,,Exeter,,EX1 2SS,100040200862,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,19 Polsloe Road,,,,Exeter,,EX1 2HL,100040229148,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,34 Polsloe Road,,,,Exeter,,EX1 2HW,100040229177,Exeter S2,-,-,Yes,Yes,No,No,No,No,No
,39c Polsloe Road,,,,Exeter,,EX1 2DN,100040229185,Exeter S2,-,-,No,No,No,No,No,No,No
,52 Polsloe Road,,,,Exeter,,EX1 2DS,100040229210,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,64 Anthony Road,,,,Exeter,,EX1 2ST,100040200854,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,77 Anthony Road,,,,Exeter,,EX1 2SS,100040200863,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,2 Polsloe Road,,,,Exeter,,EX1 2HL,100040229130,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,11 Polsloe Road,,,,Exeter,,EX1 2HL,100040229139,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,33 Polsloe Road,,,Exeter,,EX1 2HW,100040229176,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,39 Polsloe Road,,,,Exeter,,EX1 2DN,100040229186,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,56d Polsloe Road,,,,Exeter,,EX1 2DS,100040229218,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,60 Polsloe Road,,,,Exeter,,EX1 2EA,100040229227,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,87 Polsloe Road,,,,Exeter,,EX1 2HW,100040229264,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,6 Polsloe Road,,,,Exeter,,EX1 2HL,100040229134,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,81 Polsloe Road,,,,Exeter,,EX1 2NF,100041124412,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Ground Floor Flat,24 Polsloe Road,,,,,EX1 2HL,100041124472,Exeter S2,-,-,Yes,Yes,No,No,No,No,No
,Flat 1,35 Polsloe Road,,,Exeter,,EX1 2HW,100041124482,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flt 2nd Flr,46 Polsloe Road,,,Exeter,,EX1 2DR,100041124550,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,35 Polsloe Road,,,,Exeter,,EX1 2HW,100041225536,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 10,City Heights,49 Polsloe Road,,Exeter,,EX1 2DS,10013039022,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1,62 Polsloe Road,,,Exeter,,EX1 2EA,10013039031,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Walter Wall Flooring,72-73 Polsloe Road,,,Exeter,,EX1 2NF,10013042091,Exeter S2,Yes,-,No,No,No,No,No,No,No
,Flat 1,82 Polsloe Road,,,Exeter,,EX1 2NF,10013044115,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Baxter Cottage,66a Polsloe Road,,,Exeter,,EX1 2NG,100040229239,Exeter S2,-,-,No,No,No,No,No,No,No
,1 Dreys Court,Polsloe Road,,,Exeter,,EX1 2NF,100040229265,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,City Heights,49 Polsloe Road,,,Exeter,,EX1 2DS,100041045753,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,79 Polsloe Road,,,,Exeter,,EX1 2NF,100041124411,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 2,24 Polsloe Road,,,Exeter,,EX1 2HL,100041124473,Exeter S2,-,-,No,No,No,No,No,No,No
,Ground Floor Flat,27 Polsloe Road,,,,,EX1 2HW,100041124481,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Top Flat,62 Polsloe Road,,,Exeter,,EX1 2EA,100041124551,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,First Floor Flat,62 Polsloe Road,,,Exeter,,EX1 2EA,100041124684,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,56a Anthony Road,,,,Exeter,,EX1 2ST,100040200844,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,58 Anthony Road,,,,Exeter,,EX1 2ST,100040200848,Exeter S2,-,-,Yes,Yes,No,No,No,No,No
,Flat 1,45 Polsloe Road,,,Exeter,,EX1 2DR,100040229193,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,15 Anthony Road,,,,Exeter,,EX1 2SS,100040200806,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 4,City Heights,49 Polsloe Road,,Exeter,,EX1 2DS,10013046147,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,13b Polsloe Road,,,,Exeter,,EX1 2HL,10013048367,Exeter S2,Yes,-,No,No,No,No,No,No,No
,Bedsit 2,35 Polsloe Road,,,Exeter,,EX1 2HW,10013048378,Exeter S2,-,-,No,No,No,No,No,No,No
,46a Polsloe Road,,,,Exeter,,EX1 2DR,10013048528,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 1B,33 Polsloe Road,,,Exeter,,EX1 2HW,100041225535,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1,31 Polsloe Road,,,Exeter,,EX1 2HW,10013039014,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,1st Floor Rear Flat,79 Polsloe Road,,,Exeter,,EX1 2NF,10013044114,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1st Flr,14 Polsloe Road,,,Exeter,,EX1 2HL,10013048368,Exeter S2,-,-,No,No,No,No,No,No,No
,Second Floor Flat,32 Polsloe Road,,,Exeter,,EX1 2HW,10013048377,Exeter S2,-,-,No,No,No,No,No,No,No
,Nichols Centre - Flat 2,89 Polsloe Road,,,Exeter,,EX1 2HL,10013048405,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 3,32 Polsloe Road,,,Exeter,,EX1 2HW,10013049453,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,7 Anthony Road,,,,Exeter,,EX1 2SS,100040200798,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,9 Anthony Road,,,,Exeter,,EX1 2SS,100040200800,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,24 Anthony Road,,,,Exeter,,EX1 2ST,100040200815,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,46 Anthony Road,,,,Exeter,,EX1 2ST,100040200834,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,59 Anthony Road,,,,Exeter,,EX1 2SS,100040200849,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,61 Anthony Road,,,,Exeter,,EX1 2SS,100040200851,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,16 Polsloe Road,,,,Exeter,,EX1 2HL,100040229145,Exeter S2,-,-,Yes,Yes,No,No,No,No,No
,18 Polsloe Road,,,,Exeter,,EX1 2HL,100040229147,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,7 Polsloe Road,,,,Exeter,,EX1 2HL,100040229135,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,15 Polsloe Road,,,,Exeter,,EX1 2HL,100040229144,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,32 Polsloe Road,,,,Exeter,,EX1 2HW,100040229172,Exeter S2,Yes,-,No,No,No,No,No,No,No
,42 Polsloe Road,,,,Exeter,,EX1 2DR,100040229190,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,55 Polsloe Road,,,,Exeter,,EX1 2DS,100040229214,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1 Ground Floor,62 Polsloe Road,,,,,EX1 2EA,100040229235,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,84a Polsloe Road,,,,Exeter,,EX1 2NF,100040229259,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 4,35 Polsloe Road,,,Exeter,,EX1 2HW,100041124488,Exeter S2,-,-,No,No,No,No,No,No,No
,61 Polsloe Road,,,,Exeter,,EX1 2EA,100041225540,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,5 Polsloe Road,,,,Exeter,,EX1 2HL,100040229133,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,12 Polsloe Road,,,,Exeter,,EX1 2HL,100040229140,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,30 Polsloe Road,,,,Exeter,,EX1 2HW,100040229170,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 4,45 Polsloe Road,,,Exeter,,EX1 2DR,100040229196,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,56c Polsloe Road,,,,Exeter,,EX1 2DS,100040229217,Exeter S2,-,-,No,No,No,No,No,No,No
,Basement Flat,60 Polsloe Road,,,Exeter,,EX1 2EA,100040229228,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat A,83 Polsloe Road,,,Exeter,,EX1 2NF,100040229253,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,17 Anthony Road,,,,Exeter,,EX1 2SS,100040200808,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,53 Anthony Road,,,,Exeter,,EX1 2SS,100040200841,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,68 Anthony Road,,,,Exeter,,EX1 2ST,100040200858,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,69 Anthony Road,,,,Exeter,,EX1 2SS,100040200859,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,69 Polsloe Road,,,,Exeter,,EX1 2NF,100041045766,Exeter S2,-,-,No,No,No,No,Yes,No,No
,26 Polsloe Road,,,,Exeter,,EX1 2HL,100041124390,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 6,35 Polsloe Road,,,Exeter,,EX1 2HW,100041124490,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 5,30 Polsloe Road,,,Exeter,,EX1 2HW,10013039007,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 9,City Heights,49 Polsloe Road,,Exeter,,EX1 2DS,10013039025,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,62 Polsloe Road,,,Exeter,,EX1 2EA,10013039032,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,82 Polsloe Road,,,Exeter,,EX1 2NF,10013044121,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,G F Flat,47 Polsloe Road,,,Exeter,,EX1 2DS,10013047574,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Basemnt Flat,46a Polsloe Road,,,Exeter,,EX1 2DR,10013048384,Exeter S2,-,-,No,No,No,No,No,No,No
,20 Polsloe Road,,,,Exeter,,EX1 2HL,100040229149,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,23 Polsloe Road,,,,Exeter,,EX1 2HL,100040229153,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 4,28 Polsloe Road,,,Exeter,,EX1 2HW,100040229166,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,29 Polsloe Road,,,,Exeter,,EX1 2HW,100040229169,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Basement Flat,53a Polsloe Road,,,,,EX1 2DS,100040229211,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,65 Polsloe Road,,,,Exeter,,EX1 2EA,100040229238,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,66 Polsloe Road,,,,Exeter,,EX1 2NG,100041045754,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,22 Anthony Road,,,,Exeter,,EX1 2ST,100040200813,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,48 Anthony Road,,,,Exeter,,EX1 2ST,100040200836,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,18 Third Avenue,,,,Exeter,,EX1 2PJ,100040236689,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Cafe Sozo,1 Polsloe Road,,,Exeter,,EX1 2HL,10013039000,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 8,City Heights,49 Polsloe Road,,Exeter,,EX1 2DS,10013039018,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Nichols Community Resource Centre,89 Polsloe Road,,,Exeter,,EX1 2HN,10013039035,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 2,81 Polsloe Road,,,Exeter,,EX1 2NF,10013044119,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Bedsit 6,35 Polsloe Road,,,Exeter,,EX1 2HW,10013048382,Exeter S2,-,-,No,No,No,No,No,No,No
,35 Polsloe Road,,,,,,,10023118851,Exeter S2,-,-,No,No,No,No,No,No,No
,31 Polsloe Road,,,,Exeter,,EX1 2HW,100040229171,Exeter S2,-,-,No,No,No,No,No,No,No
,Ground Floor Flat,32 Polsloe Road,,,Exeter,,EX1 2HW,100040229173,Exeter S2,-,-,No,No,No,No,No,No,No
,56a Polsloe Road,,,,Exeter,,EX1 2DS,100040229215,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 2,61 Polsloe Road,,,Exeter,,EX1 2EA,100040229230,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,60 Polsloe Road,,,Exeter,,EX1 2EA,100041124465,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Second Floor Flat,27 Polsloe Road,,,,,EX1 2DN,100041124487,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 6,28 Polsloe Road,,,Exeter,,EX1 2HW,10013039002,Exeter S2,-,-,No,No,No,No,No,No,No
,Fairbanks Family Centre,90 Polsloe Road,,,Exeter,,EX1 2HW,10013039036,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 3,45 Polsloe Road,,,Exeter,,EX1 2DR,100040229195,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,51 Polsloe Road,,,,Exeter,,EX1 2DS,100040229208,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,67 Polsloe Road,,,,Exeter,,EX1 2NG,100040229240,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat B,83 Polsloe Road,,,Exeter,,EX1 2NF,100040229254,Exeter S2,-,-,Yes,Yes,No,No,No,No,No
,Flat D,83 Polsloe Road,,,Exeter,,EX1 2NF,100040229256,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,38 Polsloe Road,,,,Exeter,,EX1 2DW,100041045752,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,17 Polsloe Road,,,,Exeter,,EX1 2HL,100040229146,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1A,33 Polsloe Road,,,Exeter,,EX1 2HW,100040229174,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,44 Polsloe Road,,,,Exeter,,EX1 2DR,100040229192,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,56b Polsloe Road,,,,Exeter,,EX1 2DS,100040229216,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,11 Anthony Road,,,,Exeter,,EX1 2SS,100040200802,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,26 Anthony Road,,,,Exeter,,EX1 2ST,100040200817,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,44 Anthony Road,,,,Exeter,,EX1 2ST,100040200832,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Upper Rooms,1 Polsloe Road,,,Exeter,,EX1 2HL,100040229129,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,25 Polsloe Road,,,,Exeter,,EX1 2HL,100040229156,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,37a Polsloe Road,,,,Exeter,,EX1 2DN,100040229181,Exeter S2,-,-,No,No,No,No,No,No,No
,37 Polsloe Road,,,,Exeter,,EX1 2DN,100040229182,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,House,48 Polsloe Road,,,Exeter,,EX1 2DS,100040229205,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1,80 Polsloe Road,,,Exeter,,EX1 2NF,100040229249,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,4 Dreys Court,Polsloe Road,,,Exeter,,EX1 2NF,100040229268,Exeter S2,-,-,No,No,No,No,No,No,No
,5 Dreys Court,Polsloe Road,,,Exeter,,EX1 2NF,100040229269,Exeter S2,-,-,No,No,No,No,No,No,No
,84c Polsloe Road,,,,Exeter,,EX1 2NF,100041124497,Exeter S2,-,-,No,No,No,No,No,No,No
,90 Polsloe Road,,,,Exeter,,EX1 2HW,100041124786,Exeter S2,-,-,No,No,No,No,No,No,No
,Flat 5,35 Polsloe Road,,,Exeter,,EX1 2HW,100041124489,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,3 Jesmond Villas,Polsloe Road,,,Exeter,,EX1 2HW,100041124889,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,83 Polsloe Road,,,,Exeter,,EX1 2NF,100041225544,Exeter S2,Yes,-,No,No,No,No,No,No,No
,Flat 6,30 Polsloe Road,,,Exeter,,EX1 2HW,10013039008,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,31 Polsloe Road,,,Exeter,,EX1 2HW,10013039015,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 6,City Heights,49 Polsloe Road,,Exeter,,EX1 2DS,10013039017,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,46a Polsloe Road,,,,Exeter,,EX1 2DR,10013048383,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 2,32 Polsloe Road,,,Exeter,,EX1 2HW,10013049452,Exeter S2,-,-,Yes,Yes,No,No,No,No,No
,39a Polsloe Road,,,,Exeter,,EX1 2DN,100040229183,Exeter S2,-,-,No,No,No,No,No,No,No
,39b Polsloe Road,,,,Exeter,,EX1 2DN,100040229184,Exeter S2,-,-,No,No,No,No,No,No,No
,Flt 1st Flr,46 Polsloe Road,,,Exeter,,EX1 2DR,100040229198,Exeter S2,-,-,Yes,Yes,No,No,No,No,No
,Flt Grnd Flr,46 Polsloe Road,,,Exeter,,EX1 2DR,100040229200,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 2,80 Polsloe Road,,,Exeter,,EX1 2NF,100040229250,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,80 Polsloe Road,,,Exeter,,EX1 2NF,100040229252,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,2 Dreys Court,Polsloe Road,,,Exeter,,EX1 2NF,100040229266,Exeter S2,-,-,No,No,No,No,No,No,No
,3 Dreys Court,Polsloe Road,,,Exeter,,EX1 2NF,100040229267,Exeter S2,-,-,No,No,No,No,No,No,No
,72-73 Polsloe Road,,,,Exeter,,EX1 2NF,100041045755,Exeter S2,-,-,No,No,No,No,Yes,No,No
,47 Polsloe Road,,,,Exeter,,EX1 2DS,100041124368,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Top Flat,18 Polsloe Road,,,Exeter,,EX1 2HL,100041124475,Exeter S2,-,-,No,No,No,No,No,No,No
,12 Third Avenue,,,,Exeter,,EX1 2PJ,100040236683,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,14 Polsloe Road,,,,Exeter,,EX1 2HL,100040229143,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,41 Polsloe Road,,,,Exeter,,EX1 2DR,100040229189,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,43 Polsloe Road,,,,Exeter,,EX1 2DR,100040229191,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,54 Polsloe Road,,,,Exeter,,EX1 2DS,100040229213,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,63 Polsloe Road,,,,Exeter,,EX1 2EA,100040229236,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,Flat F,83 Polsloe Road,,,Exeter,,EX1 2NF,100040229258,Exeter S2,-,-,Yes,Yes,Yes,No,No,No,No
,84b Polsloe Road,,,,Exeter,,EX1 2NF,100040229260,Exeter S2,-,-,No,No,No,No,No,No,No
